Program Counter,Panda Current ASID,System Number,Syscall Reutrn Type,Syste Call Name
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077768217,925941760,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077768217,925941760,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3077768217,925941760,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3077768217,925941760,142,long,"sys_select(int n, fd_set __user *inp, fd_set __user *outp,fd_set __user *exp, struct timeval __user *tvp);"
3078468139,889020416,45,long,sys_brk(unsigned long brk);
3078472751,889020416,33,long,"sys_access(const char __user *filename, int mode);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078472751,889020416,33,long,"sys_access(const char __user *filename, int mode);"
3078472434,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078472380,889020416,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078472491,889020416,6,long,sys_close(unsigned int fd);
3078472751,889020416,33,long,"sys_access(const char __user *filename, int mode);"
3078472434,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078472562,889020416,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078472380,889020416,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078472491,889020416,6,long,sys_close(unsigned int fd);
3078472751,889020416,33,long,"sys_access(const char __user *filename, int mode);"
3078472434,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078472562,889020416,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078472380,889020416,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078472491,889020416,6,long,sys_close(unsigned int fd);
3078472751,889020416,33,long,"sys_access(const char __user *filename, int mode);"
3078472434,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078472562,889020416,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078472380,889020416,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078472491,889020416,6,long,sys_close(unsigned int fd);
3078472751,889020416,33,long,"sys_access(const char __user *filename, int mode);"
3078472434,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078472562,889020416,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078472380,889020416,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078473202,889020416,125,long,"sys_mprotect(unsigned long start, size_t len,unsigned long prot);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078472491,889020416,6,long,sys_close(unsigned int fd);
3078473073,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078388925,889020416,243,int,set_thread_area(struct user_desc *u_info);
3078473202,889020416,125,long,"sys_mprotect(unsigned long start, size_t len,unsigned long prot);"
3078473202,889020416,125,long,"sys_mprotect(unsigned long start, size_t len,unsigned long prot);"
3078473202,889020416,125,long,"sys_mprotect(unsigned long start, size_t len,unsigned long prot);"
